
# Curve 0 of 1, 100 points
# Curve title: "ninf(x)"
# x y type
-100  3.9198e-16  i
-97.9798  1.05979e-15  i
-95.9596  2.86337e-15  i
-93.9394  7.73058e-15  i
-91.9192  2.08546e-14  i
-89.899  5.6211e-14  i
-87.8788  1.5137e-13  i
-85.8586  4.07218e-13  i
-83.8384  1.09432e-12  i
-81.8182  2.93733e-12  i
-79.798  7.87422e-12  i
-77.7778  2.10793e-11  i
-75.7576  5.63431e-11  i
-73.7374  1.50347e-10  i
-71.7172  4.00444e-10  i
-69.697  1.06437e-09  i
-67.6768  2.8226e-09  i
-65.6566  7.46601e-09  i
-63.6364  1.96911e-08  i
-61.6162  5.17638e-08  i
-59.596  1.35567e-07  i
-57.5758  3.53516e-07  i
-55.5556  9.1725e-07  i
-53.5354  2.36599e-06  i
-51.5152  6.06041e-06  i
-49.4949  1.53934e-05  i
-47.4747  3.86981e-05  i
-45.4545  9.60419e-05  i
-43.4343  0.000234493  i
-41.4141  0.00056051  i
-39.3939  0.00130279  i
-37.3737  0.00291715  i
-35.3535  0.00621671  i
-33.3333  0.0124295  i
-31.3131  0.0229884  i
-29.2929  0.0389494  i
-27.2727  0.0603623  i
-25.2525  0.0861967  i
-23.2323  0.114915  i
-21.2121  0.145128  i
-19.1919  0.17589  i
-17.1717  0.206664  i
-15.1515  0.237187  i
-13.1313  0.267342  i
-11.1111  0.297082  i
-9.09091  0.326395  i
-7.07071  0.355281  i
-5.05051  0.383746  i
-3.0303  0.411796  i
-1.0101  0.439442  i
 1.0101  0.466691  i
 3.0303  0.493551  i
 5.05051  0.520031  i
 7.07071  0.546139  i
 9.09091  0.571882  i
 11.1111  0.597269  i
 13.1313  0.622307  i
 15.1515  0.647002  i
 17.1717  0.671361  i
 19.1919  0.695393  i
 21.2121  0.719102  i
 23.2323  0.742495  i
 25.2525  0.765578  i
 27.2727  0.788355  i
 29.2929  0.810829  i
 31.3131  0.832995  i
 33.3333  0.854837  i
 35.3535  0.876311  i
 37.3737  0.897312  i
 39.3939  0.917625  i
 41.4141  0.936849  i
 43.4343  0.954346  i
 45.4545  0.969305  i
 47.4747  0.981014  i
 49.4949  0.989238  i
 51.5152  0.994383  i
 53.5354  0.99727  i
 55.5556  0.998746  i
 57.5758  0.999449  i
 59.596  0.999766  i
 61.6162  0.999903  i
 63.6364  0.999961  i
 65.6566  0.999984  i
 67.6768  0.999994  i
 69.697  0.999998  i
 71.7172  0.999999  i
 73.7374  1  i
 75.7576  1  i
 77.7778  1  i
 79.798  1  i
 81.8182  1  i
 83.8384  1  i
 85.8586  1  i
 87.8788  1  i
 89.899  1  i
 91.9192  1  i
 93.9394  1  i
 95.9596  1  i
 97.9798  1  i
 100  1  i

